system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,SCL,date,sun_azimuth,sun_zenith,view_azimuth_mean,view_zenith_mean,.geo
20230616T103629_20230616T103659_T32ULC,0.14120000000000002,0.3261,0.29650000000000004,0.15960000000000002,0.1709,0.1754,0.2008,0.26630000000000004,0.3052,0.31720000000000004,0.3168,0.3506,4.0,2023-06-16,158.229936822237,29.8553966055648,183.232634323421,3.06247365403531,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230621T103631_20230621T104238_T31UGT,0.1602,0.30260000000000004,0.23700000000000002,0.1623,0.17320000000000002,0.1612,0.18710000000000002,0.3168,0.3654,0.36970000000000003,0.3831,0.3856,4.0,2023-06-21,157.316652838275,29.8400998562035,164.402257306135,3.12332783869573,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230621T103631_20230621T104238_T31UGU,0.1633,0.3003,0.23570000000000002,0.16290000000000002,0.17400000000000002,0.1623,0.189,0.3148,0.36250000000000004,0.3658,0.37920000000000004,0.3785,4.0,2023-06-21,157.927706771257,30.6665099255056,125.522153852944,3.75441650514515,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230621T103631_20230621T104238_T32ULC,0.1558,0.2985,0.2338,0.15960000000000002,0.1706,0.1563,0.1829,0.3158,0.3644,0.3648,0.3793,0.39780000000000004,4.0,2023-06-21,157.686574800368,29.8308240701823,183.249496817286,3.05753853096986,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230626T103629_20230626T103659_T31UGT,0.1778,0.29400000000000004,0.2048,0.1724,0.1789,0.1547,0.19110000000000002,0.3856,0.4927,0.4959,0.5045000000000001,0.5052,4.0,2023-06-26,156.885901947809,29.9816417783678,163.779424355774,3.12475509449389,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230626T103629_20230626T103659_T31UGU,0.1816,0.29200000000000004,0.20420000000000002,0.1763,0.18180000000000002,0.1579,0.193,0.3801,0.48250000000000004,0.48610000000000003,0.49460000000000004,0.49610000000000004,4.0,2023-06-26,157.504112598802,30.8054126165075,125.917399921431,3.76444964540787,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230626T103629_20230626T103659_T32ULC,0.1766,0.29450000000000004,0.2089,0.17170000000000002,0.1789,0.1552,0.19010000000000002,0.3775,0.4824,0.4927,0.4903,0.5116,4.0,2023-06-26,157.254446232409,29.9714244152887,183.05669347133,3.06319448297991,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230706T103629_20230706T103628_T31UGT,0.151,0.258,0.17980000000000002,0.1495,0.1638,0.1411,0.17600000000000002,0.38330000000000003,0.5045000000000001,0.5057,0.5045000000000001,0.4969,4.0,2023-07-06,156.406969215401,30.7442727203936,163.717259318544,3.1309263739349,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230706T103629_20230706T103628_T32ULC,0.14780000000000001,0.2559,0.1782,0.14850000000000002,0.1612,0.1405,0.1719,0.3753,0.49360000000000004,0.5017,0.5007,0.5052,4.0,2023-07-06,156.768844480053,30.7330014477649,183.545471363114,3.06320012181652,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230815T103629_20230815T104417_T31UGT,0.156,0.2854,0.1905,0.15760000000000002,0.16670000000000001,0.1504,0.1807,0.39830000000000004,0.5645,0.5605,0.5792,0.5597,4.0,2023-08-15,160.139620372607,39.1137633030538,164.492409573228,3.12100668170014,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
